Citing_Pmid	Ref_Pmid	Citing_Pubyear	Ref_Pubyear	MeSH_cos_sim	Year_Diff	MeSH_cos_dist	Diffusion_Z_MeSH
24001893	11015443	2013.0	2000.0	0.3462624	13.0	0.6537375999999999	2.2489806643381733
23902290	11015443	2013.0	2000.0	0.23534286	13.0	0.76465714	3.0765273646519
23861247	11015443	2013.0	2000.0	0.72441334	13.0	0.27558666	-0.5723217195117206
24244028	11015443	2013.0	2000.0	0.6702071	13.0	0.3297929	-0.167900685594577
24777499	11015443	2013.0	2000.0	0.5326022	13.0	0.4673978	0.8587397146631245
23810579	11015443	2013.0	2000.0	0.57644635	13.0	0.42355365	0.5316279933148389
24778130	11015443	2013.0	2000.0	0.5613618	13.0	0.4386382	0.6441705586574051
23817133	11015443	2013.0	2000.0	0.5169893	13.0	0.4830107	0.9752241850939268
24777678	11015443	2013.0	2000.0	0.54903185	13.0	0.45096815	0.736161649113904
24145345	11015443	2013.0	2000.0	0.5130901	13.0	0.4869099	1.00431527304708
24240160	11015443	2013.0	2000.0	0.67426014	13.0	0.32573986	-0.1981395405180612
24331182	11015443	2013.0	2000.0	0.432631	13.0	0.567369	1.6046032179412986
24205212	11015443	2013.0	2000.0	0.57756823	13.0	0.42243177	0.5232578892542921
23806499	11015443	2013.0	2000.0	0.47892278	13.0	0.52107722	1.259230258491152
24187568	11015443	2013.0	2000.0	0.59995323	13.0	0.40004677	0.3562482452680049
24137947	11015443	2013.0	2000.0	0.191128	13.0	0.808872	3.406404873139884
24083425	11015443	2013.0	2000.0	0.7354344	13.0	0.2645655999999999	-0.6545474647407362
23850673	11015443	2013.0	2000.0	0.5895804	13.0	0.4104196	0.4336376866542135
24127445	11015443	2013.0	2000.0	0.56974834	13.0	0.43025166	0.581600397403139
24067957	11015443	2013.0	2000.0	0.49883777	13.0	0.50116223	1.1106488249467934
19562472	11015443	2009.0	2000.0	0.66492194	9.0	0.3350780599999999	-0.0274187590422897
19424967	11015443	2009.0	2000.0	0.69069207	9.0	0.30930793	-0.2254747015211693
19056397	11015443	2009.0	2000.0	0.6264947	9.0	0.3735053	0.2679132099878291
19568919	11015443	2009.0	2000.0	0.59500545	9.0	0.4049945499999999	0.5099233623115876
19426216	11015443	2009.0	2000.0	0.7767557	9.0	0.2232442999999999	-0.8869154219522898
19563908	11015443	2009.0	2000.0	0.54558253	9.0	0.45441747	0.8897624628771765
18791172	11015443	2009.0	2000.0	0.659538	9.0	0.340462	0.0139594300064174
