Citing_Pmid	Ref_Pmid	Citing_Pubyear	Ref_Pubyear	AID_cos_sim	Year_Diff	AID_cos_dist	Diffusion_Z_value
23530125	11015443	2013.0	2000.0	0.7215553	13.0	0.2784447	-1.0134414950869146
23582509	11015443	2013.0	2000.0	0.67488384	13.0	0.32511616	-0.7027562097841197
23589618	11015443	2013.0	2000.0	0.64021647	13.0	0.3597835299999999	-0.4719804479127843
23587922	11015443	2013.0	2000.0	0.43703502	13.0	0.5629649800000001	0.8805696279041202
23585913	11015443	2013.0	2000.0	0.47444558	13.0	0.52555442	0.6315328395341536
23070399	11015443	2013.0	2000.0	0.57825917	13.0	0.4217408299999999	-0.0595394951958377
24270346	11015443	2013.0	2000.0	0.5139659	13.0	0.4860341	0.3684516782750513
23737812	11015443	2013.0	2000.0	0.5406913	13.0	0.4593087	0.1905444835176701
23723978	11015443	2013.0	2000.0	0.61326915	13.0	0.3867308499999999	-0.2925959632117332
23716685	11015443	2013.0	2000.0	0.60357106	13.0	0.3964289399999999	-0.228037154497753
23726846	11015443	2013.0	2000.0	0.5832594	13.0	0.4167406	-0.0928253166406688
23725878	11015443	2013.0	2000.0	0.53978795	13.0	0.46021205	0.1965579562583616
23782245	11015443	2013.0	2000.0	0.63703054	13.0	0.3629694599999999	-0.4507721640706946
23792703	11015443	2013.0	2000.0	0.5115579	13.0	0.4884421	0.3844813925160268
23787776	11015443	2013.0	2000.0	0.5867665	13.0	0.4132335	-0.1161715835902227
22996354	11015443	2013.0	2000.0	0.52786756	13.0	0.47213244	0.2759103006690697
23766529	11015443	2013.0	2000.0	0.40615448	13.0	0.59384552	1.0861369999170027
23772628	11015443	2013.0	2000.0	0.5508923	13.0	0.4491077	0.1226378743099484
23667165	11015443	2013.0	2000.0	0.615264	13.0	0.3847359999999999	-0.3058753965396446
23668362	11015443	2013.0	2000.0	0.48388833	13.0	0.51611167	0.5686737929606598
23651187	11015443	2013.0	2000.0	0.66808087	13.0	0.3319191299999999	-0.6574698040158762
23648271	11015443	2013.0	2000.0	0.4330305	13.0	0.5669695	0.9072271491965918
23701127	11015443	2013.0	2000.0	0.6236142	13.0	0.3763858	-0.3614614928249416
23677693	11015443	2013.0	2000.0	0.49709022	13.0	0.50290978	0.4807906849287677
23674495	11015443	2013.0	2000.0	0.6721266	13.0	0.3278734	-0.6844016544295566
23687092	11015443	2013.0	2000.0	0.55722404	13.0	0.4427759599999999	0.0804883797716775
23683941	11015443	2013.0	2000.0	0.7073721	13.0	0.2926279	-0.9190259456589212
23169063	11015443	2013.0	2000.0	0.57916415	13.0	0.42083585	-0.0655638186151887
23325679	11015443	2013.0	2000.0	0.57015276	13.0	0.4298472399999999	-0.0055762743402777
23307186	11015443	2013.0	2000.0	0.48853168	13.0	0.51146832	0.5377636710250969
23306863	11015443	2013.0	2000.0	0.6721113	13.0	0.3278887	-0.6842998045010318
23363265	11015443	2013.0	2000.0	0.5357796	13.0	0.4642204	0.2232409733172549
23362870	11015443	2013.0	2000.0	0.52277744	13.0	0.4772225599999999	0.3097945070861275
23149662	11015443	2013.0	2000.0	0.64701277	13.0	0.35298723	-0.5172224524376776
23370250	11015443	2013.0	2000.0	0.6237978	13.0	0.3762022	-0.362683691967235
23340297	11015443	2013.0	2000.0	0.48545405	13.0	0.51454595	0.5582510171378274
23223433	11015443	2013.0	2000.0	0.60122955	13.0	0.39877045	-0.2124500547500836
23190531	11015443	2013.0	2000.0	0.55305004	13.0	0.44694996	0.1082741053704453
23247726	11015443	2013.0	2000.0	0.59090126	13.0	0.40909874	-0.1436960940781866
23263823	11015443	2013.0	2000.0	0.44328594	13.0	0.55671406	0.838958140635349
23478000	11015443	2013.0	2000.0	0.46437892	13.0	0.5356210800000001	0.6985451664282827
23113638	11015443	2013.0	2000.0	0.6064659	13.0	0.3935341	-0.2473076935232287
23444404	11015443	2013.0	2000.0	0.6451426	13.0	0.3548574	-0.5047729961743697
23461413	11015443	2013.0	2000.0	0.56689745	13.0	0.43310255	0.016093862314951
23460531	11015443	2013.0	2000.0	0.5214043	13.0	0.4785956999999999	0.3189353051811662
23458521	11015443	2013.0	2000.0	0.40268892	13.0	0.59731108	1.1092067409821835
23521696	11015443	2013.0	2000.0	0.51593137	13.0	0.48406863	0.3553678234373391
23519772	11015443	2013.0	2000.0	0.5783812	13.0	0.4216187999999999	-0.0603518315865462
23516145	11015443	2013.0	2000.0	0.48303032	13.0	0.51696968	0.574385443756299
23095323	11015443	2013.0	2000.0	0.5873332	13.0	0.4126668	-0.1199440250604725
23504304	11015443	2013.0	2000.0	0.46165496	13.0	0.53834504	0.7166781815461597
23401435	11015443	2013.0	2000.0	0.5331419	13.0	0.4668581	0.2407997678577129
23408545	11015443	2013.0	2000.0	0.6069929	13.0	0.3930071	-0.2508158577279601
23405902	11015443	2013.0	2000.0	0.6748037	13.0	0.3251963	-0.7022227291781097
23143979	11015443	2013.0	2000.0	0.65603226	13.0	0.3439677399999999	-0.5772639172629844
23381914	11015443	2013.0	2000.0	0.62972265	13.0	0.3702773499999999	-0.4021245775239819
23417675	11015443	2013.0	2000.0	0.6115718	13.0	0.3884282	-0.2812969451606864
23411785	11015443	2013.0	2000.0	0.6336058	13.0	0.3663942	-0.4279741559520734
23421934	11015443	2013.0	2000.0	0.55339897	13.0	0.4466010299999999	0.1059513278828606
23129549	11015443	2013.0	2000.0	0.4654953	13.0	0.5345047	0.6911135832121943
23933888	11015443	2013.0	2000.0	0.58661216	13.0	0.4133878399999999	-0.11514416411516
23970300	11015443	2013.0	2000.0	0.3985483	13.0	0.6014516999999999	1.1367702606584575
23924497	11015443	2013.0	2000.0	0.41306528	13.0	0.58693472	1.040132785142694
24036152	11015443	2013.0	2000.0	0.6427788	13.0	0.3572212	-0.4890375150602422
